Model Code,Model,Make Code,Make
989,Unknown Bus,23,GMC
998,Other Vehicle,23,GMC
999,Unknown Vehicle,23,GMC
1,SL,24,Saturn
2,SC,24,Saturn
3,SW,24,Saturn
4,EV1,24,Saturn
5,LS,24,Saturn
6,LW,24,Saturn
7,Ion,24,Saturn
8,Sky,24,Saturn
9,Aura,24,Saturn
398,Other Automobile,24,Saturn
399,Unknown Automobile,24,Saturn
401,Vue,24,Saturn
441,Relay,24,Saturn
498,Other light truck,24,Saturn
499,Unknownlighttruck,24,Saturn
998,Other vehicle,24,Saturn
999,Unknown vehicle,24,Saturn
441,LLV,25,Grumman
442,Step-in van,25,Grumman
498,Other light truck,25,Grumman
499,Unknownlighttruck,25,Grumman
850,Truck based motorhome,25,Grumman
881,Medium/Heavy CBE,25,Grumman
882,Medium/Heavy COE low entry,25,Grumman
883,Medium/Heavy COE high entry,25,Grumman
884,Medium/Heavy Unknown engine location,25,Grumman
890,"Medium/Heavy COE entry position
 unknown",25,Grumman
898,Other medium/heavy truck,25,Grumman
899,Unknownmedium/heavy truck,25,Grumman
983,"Bus-flat front, rear engine",25,Grumman
988,Other bus,25,Grumman
989,Unknown bus,25,Grumman
998,Other vehicle,25,Grumman
999,Unknown vehicle,25,Grumman
1,Studebaker/Avanti,29,OtherDomestic
2,Checker,29,OtherDomestic
398,Other make,29,OtherDomestic
399,Unknownmake,29,OtherDomestic
498,Other Light Truck,29,OtherDomestic
988,Other Bus,29,OtherDomestic
31,Karmann Ghia,30,Volkswagen
32,Beetle 1300/1500,30,Volkswagen
33,Super Beetle,30,Volkswagen
34,411/412,30,Volkswagen
35,Squareback/Fastback,30,Volkswagen
36,Rabbit,30,Volkswagen
37,Dasher,30,Volkswagen
38,Scirocco,30,Volkswagen
40,Jetta,30,Volkswagen
41,Quantum,30,Volkswagen
42,Golf,30,Volkswagen
43,Rabbit pickup,30,Volkswagen
44,Fox,30,Volkswagen
45,Corrado,30,Volkswagen
46,Passat,30,Volkswagen
47,Jetta III,30,Volkswagen
48,Golf III,30,Volkswagen
49,New Beetle,30,Volkswagen
50,Phaeton,30,Volkswagen
51,EOS,30,Volkswagen
398,Other automobile,30,Volkswagen
