OBJECTID,Join_Count,TARGET_FID,Fatalities,PedFatalities,BikeFatalities,MVOFatalities,YR,nodeX,nodeY,STREET1,STREET2
157,1,157,1,1,0,0,2016,986568.1843,214236.8383,8 AVENUE                        ,WEST 38 STREET                  
158,1,158,1,1,0,0,2016,989545.3897,213790.7011,EAST 42 STREET                  ,5 AVENUE                        
159,9,159,1,1,0,0,2016,1005769.025,161455.8005,FLATBUSH AVENUE                 ,AVENUE U                        
160,1,160,1,1,0,0,2016,1005483.382,241803.5542,GERARD AVENUE                   ,EAST 164 STREET                 
161,1,161,1,1,0,0,2016,988049.3133,183074.3429,5 AVENUE                        ,9 STREET                        
162,1,162,1,0,1,0,2016,990856.8601,186314.4279,STERLING PLACE                  ,6 AVENUE                        
163,2,163,1,0,0,1,2016,1015636.596,193111.6519,CYPRESS HILLS STREET            ,80 AVENUE                       
164,1,164,1,0,1,0,2016,1051156.298,216984.195,223 STREET                      ,NORTHERN BOULEVARD              
165,1,165,1,1,0,0,2016,983236.1109,164081.1365,76 STREET                       ,15 AVENUE                       
166,1,166,1,1,0,0,2016,988423.5382,206090.9166,2 AVENUE                        ,EAST 14 STREET                  
167,1,167,1,0,0,1,2016,1025311.065,198211.9137,METROPOLITAN AVENUE             ,70 DRIVE                        
168,7,168,1,1,0,0,2016,1011105.447,234165.1807,EAST 149 STREET                 ,BRUCKNER BOULEVARD              
169,3,169,1,1,0,0,2016,1017132.355,214046.3531,86 STREET                       ,34 AVENUE                       
170,1,170,1,1,0,0,2016,996841.9266,234635.3405,MORNINGSIDE AVENUE              ,WEST 124 STREET                 
171,1,171,1,1,0,0,2016,1024228.879,266795.9277,NEREID AVENUE                   ,RICHARDSON AVENUE               
172,3,172,1,1,0,0,2016,986186.1444,199535.602,ALLEN STREET                    ,DIVISION STREET                 
173,1,173,1,0,0,1,2016,987281.4244,172954.3041,40 STREET                       ,12 AVENUE                       
174,1,174,1,1,0,0,2016,985205.5361,167942.9135,60 STREET                       ,NEW UTRECHT AVENUE              
175,1,175,1,1,0,0,2016,1037247.091,224866.0523,17 AVENUE                       ,CLINTONVILLE STREET             
176,10,176,1,1,0,0,2016,1016683.901,254824.2099,BEDFORD PARK BOULEVARD          ,SOUTHERN BOULEVARD              
177,1,177,1,1,0,0,2016,985813.8354,190749.3436,ATLANTIC AVENUE                 ,CLINTON STREET                  
178,1,178,1,1,0,0,2016,996133.4601,201007.4429,BEDFORD AVENUE                  ,NORTH 8 STREET                  
179,1,179,1,1,0,0,2016,1001812.582,157448.0628,COYLE STREET                    ,AVENUE V                        
180,1,180,1,0,1,0,2016,999332.5187,198493.0778,GRAND STREET                    ,MANHATTAN AVENUE                
181,1,181,1,1,0,0,2016,993007.4218,197131.9828,KENT AVENUE                     ,SOUTH 11 STREET                 
182,0,182,1,0,0,1,2015,,,,
183,0,183,1,0,0,1,2015,,,,
184,1,184,1,0,0,1,2015,1002350.511,200581.7777,VANDERVOORT AVENUE              ,MASPETH AVENUE                  
185,0,185,1,0,0,1,2015,,,,
186,0,186,1,0,0,1,2015,,,,
187,6,187,1,1,0,0,2015,1008477.966,232471.9688,EAST 138 STREET                 ,BRUCKNER BOULEVARD              
188,0,188,1,1,0,0,2015,,,,
189,1,189,1,0,0,1,2015,1012327.41,173192.4142,AVENUE J                        ,ROCKAWAY PARKWAY                
190,1,190,1,1,0,0,2015,1012831.1,267992.0671,BROADWAY                        ,HENRY HUDSON PKWY ET 23 N SB    
191,1,191,1,1,0,0,2015,1014243.167,212163.2043,74 STREET                       ,37 AVENUE                       
192,3,192,1,0,0,1,2015,1021361.563,176940.5241,ERSKINE STREET                  ,BELT PARKWAY WB EN ERSKINE ST   
193,0,193,1,1,0,0,2015,,,,
194,1,194,1,0,1,0,2015,995069.8369,176121.4106,OCEAN AVENUE                    ,CHURCH AVENUE                   
195,1,195,1,1,0,0,2015,988226.1174,217227.5213,8 AVENUE                        ,WEST 51 STREET                  
196,1,196,1,1,0,0,2015,985687.6513,157786.8219,BAY 31 STREET                   ,BENSON AVENUE                   
197,1,197,1,1,0,0,2015,1031884.024,249950.4929,WESTCHESTER AVENUE              ,COLONIAL AVENUE                 
198,1,198,1,0,0,1,2015,1046917.855,182382.4545,SOUTH CONDUIT AVENUE            ,176 STREET                      
199,4,199,2,0,0,2,2015,960401.2954,156386.9363,QUINTARD STREET                 ,HYLAN BOULEVARD                 
200,1,200,1,1,0,0,2015,1032779.751,189964.4863,103 AVENUE                      ,LEFFERTS BOULEVARD              
201,1,201,1,0,1,0,2015,980975.9285,184719.92,VAN DYKE STREET                 ,DWIGHT STREET                   
202,1,202,1,0,0,1,2015,974228.5374,162450.0475,SHORE ROAD                      ,3 AVENUE                        
203,2,203,1,0,0,1,2015,1020223.926,243676.1685,ROSEDALE AVENUE                 ,CROSS BRONX EXPRESSWAY SR SOUTH 
204,1,204,1,0,0,1,2015,1012327.41,173192.4142,AVENUE J                        ,ROCKAWAY PARKWAY                
205,1,205,1,1,0,0,2015,953648.2872,144889.3021,MILL ROAD                       ,EBBITTS STREET                  
206,1,206,1,1,0,0,2015,997341.1251,149453.6893,WEST END AVENUE                 ,ORIENTAL BOULEVARD              
207,1,207,1,0,0,1,2015,1004689.401,243517.6387,WOODYCREST AVENUE               ,WEST 166 STREET                 
208,1,208,1,1,0,0,2015,1044545.196,182491.5747,NORTH CONDUIT AVENUE            ,CRANSTON STREET                 
209,1,209,1,0,0,1,2015,1016054.575,238969.403,EDGEWATER ROAD                  ,BRUCKNER BOULEVARD              
210,3,210,1,0,0,1,2015,938905.3843,158527.6833,SIGNS ROAD                      ,RICHMOND AVENUE                 
211,1,211,1,0,0,1,2015,1009402.899,258886.0128,MARBLE HILL AVENUE              ,WEST 228 STREET                 
212,1,212,1,1,0,0,2015,1011147.574,246935.7581,WEBSTER AVENUE                  ,CROSS BRONX EXPWY ET 2 B EB     
213,1,213,1,0,0,1,2015,1058507.208,190388.1304,119 AVENUE                      ,231 STREET                      
214,1,214,1,1,0,0,2015,1011359.102,174331.4634,ROCKAWAY PARKWAY                ,GLENWOOD ROAD                   
215,3,215,1,1,0,0,2015,1014932.441,178651.3859,PENNSYLVANIA AVENUE             ,STANLEY AVENUE                  
216,3,216,1,0,1,0,2015,990023.3644,188159.3652,4 AVENUE                        ,DEAN STREET                     
217,1,217,1,1,0,0,2015,1043226.393,226763.2204,CROSS ISLAND PARKWAY SR SOUTH   ,ESTATES LANE                    
218,1,218,1,0,1,0,2015,1001480.736,212490.6509,29 STREET                       ,QUEENS PLAZA NORTH              
219,3,219,1,1,0,0,2015,1029303.767,191199.0766,ATLANTIC AVENUE                 ,108 STREET                      
220,2,220,1,1,0,0,2015,1040317.288,197701.1962,165 STREET                      ,HILLSIDE AVENUE                 
221,1,221,1,1,0,0,2015,1005657.365,190643.7598,BROADWAY                        ,LINDEN STREET                   
222,1,222,1,0,0,1,2015,981801.5731,199331.7408,CHURCH STREET                   ,MURRAY STREET                   
223,1,223,1,1,0,0,2015,1010085.013,259829.1244,WEST 231 STREET                 ,KINGSBRIDGE AVENUE              
224,1,224,1,1,0,0,2015,984870.1595,200431.1678,CANAL STREET                    ,MOTT STREET                     
225,1,225,1,0,0,1,2015,1027275.552,187158.5339,94 STREET                       ,LIBERTY AVENUE                  
226,2,226,1,1,0,0,2015,948649.1867,142063.0286,HYLAN BOULEVARD                 ,BUFFALO STREET                  
227,3,227,1,1,0,0,2015,1008351.054,184222.8147,PROSPECT PLACE                  ,EASTERN PARKWAY                 
228,1,228,1,0,0,1,2015,1004928.278,245384.9082,WEST 169 STREET                 ,OGDEN AVENUE                    
229,1,229,1,1,0,0,2015,1008768.195,244545.7304,EAST 170 STREET                 ,MORRIS AVENUE                   
230,3,230,1,1,0,0,2015,1016879.993,175542.6618,PENNSYLVANIA AVENUE             ,TWIN PINES DRIVE                
231,1,231,1,1,0,0,2015,987770.5277,212686.6777,WEST 35 STREET                  ,AVENUE OF THE AMERICAS          
232,1,232,1,0,0,1,2015,997259.3011,184031.1487,ST JOHNS PLACE                  ,ROGERS AVENUE                   
233,3,233,1,0,0,1,2015,1040237.793,200691.8956,168 STREET                      ,GRAND CENTRAL PARKWAY           
234,1,234,1,1,0,0,2015,1004975.104,232882.2659,BRUCKNER BOULEVARD              ,WILLIS AVENUE BRIDGE            
235,1,235,1,1,0,0,2015,989267.2111,150295.0262,STILLWELL AVENUE                ,NEPTUNE AVENUE                  
236,1,236,1,0,0,1,2015,1026114.059,151275.523,BEACH CHANNEL DRIVE             ,BEACH 127 STREET                
237,1,237,1,0,0,1,2015,1046358.191,182669.9733,159 STREET                      ,NORTH CONDUIT AVENUE            
238,18,238,1,0,0,1,2015,1023556.013,196374.3648,WOODHAVEN BOULEVARD             ,UNION TURNPIKE                  
239,3,239,1,1,0,0,2015,1001744.873,239784.5031,ADAM C POWELL BOULEVARD         ,WEST 150 STREET                 
240,1,240,1,0,0,1,2015,977966.299,168616.0158,BAY RIDGE PARKWAY               ,5 AVENUE                        
241,3,241,1,0,0,1,2015,944951.1232,138383.6331,HYLAN BOULEVARD                 ,GREAT KILLS ROAD                
242,1,242,1,0,1,0,2015,1001901.099,238191.3734,LENOX AVENUE                    ,WEST 145 STREET                 
243,1,243,1,0,0,1,2015,954565.664,154384.5223,FOUR CORNERS ROAD               ,NORTHENTRY ROAD                 
244,1,244,1,0,0,1,2015,945022.3763,140982.5875,CRANFORD STREET                 ,AMBOY ROAD                      
245,3,245,1,1,0,0,2015,989196.5879,220016.9842,BROADWAY                        ,WEST 62 STREET                  
246,1,246,1,1,0,0,2015,1014986.939,218123.3069,ASTORIA BOULEVARD               ,ASTORIA BOULEVARD RAMP          
247,1,247,1,1,0,0,2015,996076.5935,161202.0809,EAST 16 STREET                  ,KINGS HIGHWAY                   
248,1,248,1,0,1,0,2015,1037661.873,184243.8481,SUTTER AVENUE                   ,131 STREET                      
249,1,249,1,1,0,0,2015,987524.5636,221533.8644,WEST 64 STREET                  ,WEST END AVENUE                 
250,3,250,1,1,0,0,2015,1021093.324,188117.8922,GRANT AVENUE                    ,ATLANTIC AVENUE                 
251,1,251,1,1,0,0,2015,1009004.494,186403.6236,ROCKAWAY AVENUE                 ,FULTON STREET                   
252,2,252,1,0,0,1,2015,1028480.192,192655.1141,JAMAICA AVENUE                  ,107 STREET                      
